idveiculo,dia,mes,diadasemana,hora,Velocidade,Longitude,Latitude,Eventos
226,12,4,2,0.41109953704,18,-44.21960068,-2.581350088,3
23,4,5,3,0.24062500000,23,-44.2195015,-2.540019989,3
46,16,4,6,0.25222222222,41,-44.2195015,-2.572340012,3
59,3,5,2,0.72409722222,39,-44.2195015,-2.484080076,3
60,1,4,5,0.26572916667,20,-44.2195015,-2.500479937,3
60,14,5,6,0.26437500000,22,-44.2195015,-2.500439882,3
60,26,5,4,0.25920138889,24,-44.2195015,-2.513119936,3
70,30,4,6,0.27939814815,21,-44.2195015,-2.540110111,3
76,11,5,3,0.38831018519,24,-44.2195015,-2.581449986,3
99,4,5,3,0.45609953704,19,-44.2195015,-2.581409931,3
99,10,5,2,0.38587962963,26,-44.2195015,-2.581409931,3
7,21,5,6,0.77796296296,27,-44.2193985,-2.581510067,3
26,20,4,3,0.53674768519,32,-44.2193985,-2.581530094,3
26,22,4,5,0.90556712963,31,-44.2193985,-2.581579924,3
46,29,4,5,0.85622685185,57,-44.2193985,-2.572530031,3
63,31,3,4,0.86045138889,47,-44.2193985,-2.553060055,3
91,24,5,2,0.41362268519,29,-44.2193985,-2.581520081,3
166,16,5,1,0.86597222222,58,-44.2193985,-2.484009981,3
193,28,5,6,0.73576388889,24,-44.2193985,-2.581549883,3
226,30,3,3,0.36925925926,45,-44.2193985,-2.484009981,3
7,26,4,2,0.25971064815,48,-44.21929932,-2.58156991,3
17,13,5,5,0.36224537037,55,-44.21929932,-2.57269001,3
28,11,5,3,0.58204861111,30,-44.21929932,-2.581619978,3
60,14,4,4,0.26438657407,26,-44.21929932,-2.50112009,3
66,20,5,5,0.73974537037,15,-44.21929932,-2.55298996,3
70,30,4,6,0.27935185185,18,-44.21929932,-2.540250063,3
134,1,6,3,0.87653935185,29,-44.21929932,-2.581599951,3
171,28,4,4,0.75564814815,36,-44.21929932,-2.573610067,3
171,5,5,4,0.75350694444,33,-44.21929932,-2.573539972,3
218,4,3,5,0.12106481481,29,-44.21929932,-2.581619978,5
226,5,4,2,0.42917824074,27,-44.21929932,-2.581650019,3
46,28,4,4,0.20109953704,39,-44.21920013,-2.573640108,3
47,26,5,4,0.20109953704,51,-44.21920013,-2.540410042,3
60,24,5,2,0.71273148148,29,-44.21920013,-2.514770031,3
63,1,5,7,0.85752314815,32,-44.21920013,-2.581749916,3
63,3,5,2,0.23763888889,33,-44.21920013,-2.599040031,3
68,27,5,5,0.78739583333,29,-44.21920013,-2.581779957,3
71,21,4,4,0.56553240741,30,-44.21920013,-2.581680059,3
72,12,3,6,0.90728009259,29,-44.21920013,-2.581749916,1
91,29,4,5,0.91219907407,30,-44.21920013,-2.581720114,3
121,31,5,2,0.85400462963,51,-44.21920013,-2.572679996,3
135,31,5,2,0.89280092593,31,-44.21920013,-2.581680059,3
144,19,4,2,0.37334490741,56,-44.21920013,-2.572730064,3
160,16,5,1,0.88096064815,31,-44.21920013,-2.581650019,3
166,10,5,2,0.90776620370,35,-44.21920013,-2.581739902,3
62,11,5,3,0.35466435185,35,-44.21910095,-2.581769943,3
70,10,5,2,0.23543981481,35,-44.21910095,-2.552999973,3
93,18,3,5,0.92817129630,34,-44.21910095,-2.581840038,3
93,5,5,4,0.24804398148,20,-44.21910095,-2.551609993,3
160,26,5,4,0.21452546296,46,-44.21910095,-2.581820011,3
166,16,5,1,0.90490740741,33,-44.21910095,-2.581779957,3
190,1,6,3,0.26120370370,24,-44.21910095,-2.512229919,3
211,24,4,7,0.25173611111,30,-44.21910095,-2.545639992,3
226,3,4,7,0.25174768519,18,-44.21910095,-2.490890026,3
8,22,5,7,0.24026620370,47,-44.21900177,-2.581880093,3
28,16,5,1,0.23240740741,50,-44.21900177,-2.581890106,3
66,5,4,2,0.22944444444,50,-44.21900177,-2.581860065,3
